"Var1","Freq"
"Samanea saman",10
"Senegalia angustifolia",18
"Senna alata",23
"Senna alexandrina",2
"Senna angustisiliqua",38
"Senna atomaria",35
"Senna bicapsularis",2
"Senna domingensis",3
"Senna gundlachii",1
"Senna ligustrina",6
"Senna mexicana",17
"Senna obtusifolia",9
"Senna occidentalis",30
"Senna pendula",1
"Senna polyphylla",1
"Senna septemtrionalis",9
"Senna siamea",3
"Senna sophera",7
"Senna spectabilis",19
"Senna tora",1
"Senna uniflora",21
"Sesbania bispinosa",10
"Sesbania grandiflora",2
"Sesbania sericea",10
"Sigmoidotropis antillana",1
"Sigmoidotropis ekmaniana",1
"Sigmoidotropis elegans",1
"Sophora albopetiolulata",6
"Sophora tomentosa",6
"Strongylodon macrobotrys",1
"Stylosanthes guianensis",2
"Stylosanthes hamata",32
"Tamarindus indica",19
"Tara vesicaria",3
"Tephrosia cinerea",10
"Tephrosia purpurea",18
"Tephrosia senna",7
"Tephrosia sessiliflora",3
"Tephrosia sinapou",2
"Teramnus labialis",1
"Teramnus uncinatus",3
"Trifolium dubium",1
"Trifolium pratense",1
"Trifolium repens",7
"Vachellia acuifera",1
"Vachellia barahonensis",8
"Vachellia choriophylla",1
"Vachellia cucuyo",3
"Vachellia farnesiana",12
"Vachellia macracantha",44
"Vachellia oviedoensis",4
"Vachellia tortuosa",13
"Vigna luteola",6
"Vigna umbellata",1
"Vigna unguiculata",1
"Vigna vexillata",1
"Zapoteca caracasana",1
"Zapoteca nervosa",7
"Zapoteca portoricensis",15
"Zornia diphylla",2
"Zornia microphylla",3
"Zornia reticulata",2
